,가게이름,전화번호,카테고리,주소,운영시간,홈페이지,메뉴,블로그리뷰수
0,어니언 성수,070-4353-3238,카페/디저트, 아차산로9길 8 어니언,평일 08:00~22:00 last order 21:30 | 주말 10:00~22:00 last order 21:30,http://onionkr.com,"에스프레소 4,300 | 에스프레소 콘파냐 4,800 | 아메리카노 5,000 | 플랫 화이트 5,500 | 카페 라떼 5,500 | 카푸치노 5,500 | 바닐라 라떼 6,000 | 카페 모카 6,800 | 어니언 아인슈페너 6,500 | 딸기 요거트 6,500 | 초콜렛 라떼 6,800 | 밀크티 6,500 | 패션후르츠 에이드 6,500 | 로즈 에이드 6,500 | 제주 당근 주스 6,300 | 꽃차 6,500 | 패션후르츠 티 6,500 | 로즈 티 6,500 | 어니언 크림 카푸치노 6,500 | 비건 밀크티 6,500 | 차이 밀크티 7,000",4347
1,소문난성수감자탕,02-465-6580,한식, 연무장길 45,매일 00:00~24:00 연중무휴,,"감자국식사 9,000 | 감자탕 (소) 26,000 | 감자탕 (중) 30,000 | 감자탕 (대) 40,000 | 뼈추가 10,000 | 포장 (1인분) 11,000 | 포장 대 40,000",2267
2,소바식당,02-6339-1552,일식, 연무장7가길 6,매일 11:00~21:00 Break time 15:00~17:00,https://www.instagram.com/sobasikdang/,"전복,단새우 냉소바 13,000 | 단새우 냉소바 11,000 | 전복 냉소바 12,000 | 한우양지온면(특) 12,000 | 성게알덮밥(中) 18,000 | 연어덮밥 9,000 | 백명란덮밥 9,000 | 모듬고로케 9,000 | 타마고멘치카츠 9,000 | 게딱지장 덮밥 8,000 | 왕새우튀김 6,000",1587
3,orer,02-462-0018,카페/디저트, 연무장길 18,매일 10:00~21:00 야외 테라스 10:00-20:00,http://www.instagram.com/or.er/,"아메리카노 5,500 | 오르그레이 7,500 | 포씨캐롯 7,500 | 더레이어케이크 7,500 | 캬바레케이크 7,500 | 카페라떼 6,000 | 플렛화이트 5,500 | 밀크티 7,000 | 메도우/카페인프리 7,000 | 에스프레소 5,500 | 롱블랙 5,500 | 카푸치노 6,000 | 콜드브루 6,000 | 카페모카 6,500 | 바닐라라떼 6,500 | 브루잉커피 6,500 | 아몬드커피 6,000 | 크림아몬드초콜렛 7,000 | 말차라떼 7,000 | 프레쉬 주스 7,000 | 레몬에이드 7,000 | 시트러스베리 에이드 7,000 | 로열블랜드 7,000 | 얼그레이 7,000 | 애플티 7,000 | 스트로베리티 7,000 | 페퍼민트/카페인프리 7,000 | 레드렉타/카페인프리 7,000 | 산펠레그리노 탄산수 5,000",1464
4,성수족발,02-464-0425,한식, 아차산로7길 7 동진빌딩 1층 성수족발,매일 12:00~22:00 명절 휴무,http://blog.naver.com/ssjb1983,"족발 (특대) 50,000 | 족발 (대) 45,000 | 족발 (중) 40,000 | 소주 4,000 | 맥주 5,000 | 클라우드 드래프트 5,000 | 막걸리 3,000 | 청하 5,000 | 백세주 8,000 | 음료수 2,000 | 공기밥 1,000",1431
5,라화쿵부 건대점,02-462-7778,중식, 아차산로30길 42 1~2층,매일 08:00~21:00 (배달은 23시 45분까지),https://rahuakongbu.modoo.at/,"마라탕 100g(5000원부터) 1,650 | 마라샹궈 100g 3,000 | 매운가재볶음 30,000 | 소고기야채쌀국수 8,000 | 완자야채쌀국수 8,000 | 양고기야채쌀국수 8,000 | 야채쌀국수 8,000 | 해물쌀국수 10,000 | 볶음면 8,000 | 볶음밥 7,000 | 훈둔 6,000 | 고기만두 7,000",1319
6,페스타마레 건대본점,02-497-9982,양식, 동일로20길 114 2층 페스타마레,매일 11:30~21:30 연중무휴,http://www.페스타마레.com/,"알리오올리오 8,000 | 크림감자뇨끼 11,000 | 갈릭스테이크 23,500 | 바바큐삼겹스테이크 15,500 | 루꼴라&삼겹스테이크 15,500 | 빠네 크랩 12,500 | 빠네 포르마지오 12,500 | 빠네로제씨푸드 12,500 | 봉골레 비앙코 9,000 | 마레 올리오 10,000 | 아라비아따 8,500 | 쉬림프 로제 9,500 | 쥬빠빠쉐 10,000 | 스위트 토마토 7,500 | 봉골레루소 9,000 | 후레쉬 모짜렐라 9,000 | 페스타마레 10,000 | 삼겹살토마토스튜 9,000 | 고르곤졸라&스테이크 스파게티 12,500 | 까르보나라 8,000 | 새우크림 9,500 | 핫치킨크림 8,000 | 크랩 9,500 | 로제스테이크 12,500 | 갈릭 포테이트 13,500 | 케이준 치킨텐더 13,500 | 고구마 13,500 | 리코타치즈 피자 14,000 | 디아볼라/페페로니크림/마르게리따/풍기 피자 13,000 | 고르곤졸라 피자 11,000 | 데리삼겹 철판 라이스 8,000 | 치킨 데리야끼 그라탕 9,000 | 아라비아따 그라탕 9,000 | 라자냐 11,000 | 부라타치즈피자 16,500 | 부라타포모도로 12,500 | 라비올리&리가토니 11,000 | 라구리가토니 10,000",1302
7,마를리,02-467-0303,카페/디저트, 연무장길 47 홍원빌딩,매일 09:00~23:00,http://www.instagram.com/marly.official_,"아메리카노 4,500 | 카페라떼 5,500 | 더치커피 5,500 | 흑임자라떼 6,000 | 리얼초코렛 6,000 | 아보카도 사과주스 7,000 | 플레인스콘 3,000",1268
8,명봉반점,02-498-8808,중식, 뚝섬로31길 59,매일 12:00~02:00 연중무휴,,"양꼬치 15,000 | 양삼겹살꼬치 16,000 | 양갈비살꼬치 18,000 | 양고급갈비300g 28,000 | 유린기 16,000 | 탕수육 16,000 | 가지볶음 15,000 | 크림중새우 16,000 | 깐쇼중새우 16,000 | 마라탕 10,000 | 양쪽갈비 25,000 | 돼지염통 14,000 | 혈관 14,000 | 닭똥집 14,000 | 오돌뼈 14,000 | 양깃머리 22,000 | 소고기꼬치 18,000 | 향라대하 20,000 | 바지락볶음 20,000 | 마늘닭강정 16,000 | 깐쇼새우 16,000 | 깐풍기 16,000 | 청경채새우살 15,000 | 경장육슬 16,000 | 어향육슬 15,000 | 토마토계란 15,000 | 소양볶음 15,000 | 지삼선 15,000 | 청경채돼지고기 16,000 | 누룽지탕 13,000 | 마파두부 12,000 | 부추계란 14,000 | 건두부볶음 12,000 | 마라룽샤 38,000 | 양고기만두 7,000 | 온면 7,000 | 냉면 7,000 | 꽃빵 7,000 | 계란볶음밥 7,000",1104
9,고향양꼬치,02-498-3618,중식, 동일로18길 101,평일 11:30~01:00 | 일요일 11:30~24:00,https://www.instagram.com/sheepkkochi/,"양꼬치  14,000 | 양갈비살  17,000 | 꿔바오러우 13,000 | 고향고급양갈비 300g 25,000 | 가지튀김 12,000 | 마라두부 10,000 | 마라룽샤 38,000",1102
