,이름,평점,평점표준화,리뷰수,카테고리,도로명,count,사이트
0,호야 (건대점),3.0,-1.148226459466639,45.0,일식,능동로13길,1,포잉
1,포지티브 제로 라운지,3.7,0.34548406745013993,11.0,펍,연무장길,1,포잉
2,중앙감속기,4.1,1.1990329399740123,62.0,중식,성수일로6길,1,포잉
3,장고키친,3.75,0.45217767651562374,10.0,한식,서울숲길,1,포잉
4,누메로도스,3.45,-0.18798397787728097,17.0,양식,상원1길,1,포잉
5,하노이102,3.7,0.34548406745013993,7.0,아시안식,서울숲6길,1,포잉
6,오스테리아 쟌니,3.7,0.34548406745013993,7.0,양식,연무장길,1,포잉
7,팩피,3.8,0.5588712855811075,65.0,양식,왕십리로,1,포잉
8,바위머쓸바,4.85,2.799437075956275,12.0,기타,뚝섬로15길,1,포잉
9,르 빠니에 블루,3.45,-0.18798397787728097,8.0,양식,능동로,1,포잉
10,로니로티 (건대점),3.25,-0.6147584141392181,5.0,양식,아차산로,1,포잉
12,도치피자 (성수점),3.4,-0.29467758694276575,8.0,양식,연무장길,1,포잉
13,라구뜨,2.95,-1.2549200685321227,18.0,기타,능동로,1,포잉
14,포지티브,4.65,2.3726626396943398,15.0,펍,서울숲2길,1,포잉
15,트와블루,2.1,-3.068711422645354,3.0,양식,서울숲길,1,포잉
16,TBD,3.7,0.34548406745013993,12.0,양식,연무장길,1,포잉
17,할머니의 레시피,3.25,-0.6147584141392181,8.0,한식,서울숲2길,1,포잉
20,어메이징 브루잉 컴퍼니,3.65,0.23879045838465515,18.0,펍,성수일로4길,1,포잉
21,어니언,3.5,-0.08129036881179719,23.0,카페/디저트,아차산로9길,1,포잉
24,다로베,3.9,0.772258503712076,41.0,양식,서울숲길,1,포잉
25,대림창고,3.55,0.025403240253686617,8.0,양식,성수이로,1,포잉
26,매화반점 (1호점),3.55,0.025403240253686617,15.0,중식,동일로18길,1,포잉
27,소녀방앗간,3.5,-0.08129036881179719,12.0,한식,왕십리로5길,1,포잉
28,소문난성수감자탕,3.7,0.34548406745013993,22.0,한식,연무장길,1,포잉
29,재주식탁,3.35,-0.40137119600824955,8.0,일식,뚝섬로5길,1,포잉
30,성수족발,3.9,0.772258503712076,19.0,한식,성수일로10길,1,포잉
31,봉자마라탕,3.6,0.13209684931917137,19.0,중식,동일로18길,1,포잉
32,메이빌 (건대본점),2.95,-1.2549200685321227,4.0,양식,아차산로29길,1,포잉
33,C156,3.35,-0.40137119600824955,3.0,양식,동일로,1,포잉
35,페스타마레,2.85,-1.4683072866630913,4.0,양식,동일로20길,1,포잉
36,롱테이블,3.45,-0.18798397787728097,3.0,기타,뚝섬로51길,1,포잉
38,고니스,3.45,-0.18798397787728097,6.0,양식,왕십리로,1,포잉
39,대성갈비,3.35,-0.40137119600824955,6.0,한식,서울숲4길,1,포잉
40,돕감자탕전문점,3.25,-0.6147584141392181,8.0,한식,아차산로31길,1,포잉
