,이름,평점,주소,카테고리,조회수
0,성수 도치피자,3.9,서울특별시 성동구 연무장길 7,양식,4044
1,꿉당 성수점,0.0,서울특별시 성동구 성수이로20길 10  ,고기,565
2,하프커피 성수점,0.0,서울특별시 성동구 서울숲4길 12 ,카페/디저트,904
3,산동성수타짜장,3.6,서울 은평구 응암로 331-16,일/중/아시아,3871
4,박가부대(성수점),2.9,서울 성동구 성수이로7길 27,한식,2743
5,토시래(성수역점),2.8,서울 성동구 아차산로7길 10,고기,4108
6,성수동 간판없는집,3.0,서울특별시 성동구 성수일로 59-1,한식,8259
7,슈퍼오아시스 성수동본점,0.0,서울특별시 성동구 아차산로 144 우영테크노센터 ,카페/디저트,966
8,카츠성수,3.0,서울특별시 성동구 서울숲4길 26 ,일/중/아시아,2765
9,와인문화공간 성수,4.5,서울특별시 성동구 아차산로1길 9 ,나이트라이프,1169
10,송계옥 성수점,0.0,서울특별시 성동구 아차산로11길 11 ,고기,611
11,성수부두,3.5,서울특별시 성동구 연무장길 41-26 ,양식/레스토랑,2326
12,모모야 성수점,5.0,서울특별시 성동구 성수동1가 656-335,양식,1788
13,슈퍼말차 성수,3.5,서울특별시 성동구 서울숲6길 19 ,카페/디저트,2710
14,롸카두들 내쉬빌 핫치킨 성수점,0.0,서울특별시 성동구 성수일로4길 25 서울숲코오롱디지털타워 ,양식,71
15,밥플러스 성수역점,0.0,서울특별시 성동구 연무장5가길 25 ,한식,499
16,다운타우너 성수 피치스,0.0,서울특별시 성동구 연무장3길 9 ,양식,409
17,보다성수,0.0,서울특별시 성동구 성수이로14길 7,양식,810
18,코타티 성수점,0.0,서울특별시 성동구 상원4길 10,카페/디저트,350
19,버거보이 성수낙낙점,0.0,서울특별시 성동구 아차산로17길 48 ,양식,911
20,보울룸 성수점,0.0,서울특별시 성동구 아차산로17길 49 ,일/중/아시아,967
21,칙피스 성수점 ,0.0,서울특별시 성동구 연무장5길 9-16 ,양식,1149
22,텍스쳐성수,0.0,서울특별시 성동구 서울숲2길 16-12 ,카페/디저트,1642
23,성수불타는곱창,0.0,서울특별시 성동구 성수이로 35 ,고기,1241
24,멘야코노하 성수,0.0,서울특별시 성동구 왕십리로4길 10-1 ,일/중/아시아,621
25,이월로스터스 성수점,0.0,서울특별시 성동구 서울숲2길 46 ,카페/디저트,750
26,갓잇 성수점,0.0,서울특별시 성동구 왕십리로10길 10 ,양식,1170
27,성수식당,2.6,경상북도 상주시 화서면 화령남6길 17,일/중/아시아,4673
28,이성수왕짬뽕순두부,4.5,,한식,5283
29,칙피스 성수점,0.0,서울특별시 성동구 연무장5길 9-16 블루스톤타워 ,양식,21
30,감도 성수점,0.0,서울특별시 성동구 왕십리로 83-21 디타워 서울특별시포레스트 ,카페/디저트,291
31,윕 성수,0.0,서울특별시 성동구 광나루로4가길 5 ,나이트라이프,801
32,성수다락,0.0,서울특별시 성동구 뚝섬로9길 20,양식,1765
33,성수끝집,0.0,서울특별시 성동구 서울숲2길 14,카페/디저트,1821
34,아트몬스터 성수점,0.0,서울 성동구 성수일로8길 16,나이트라이프,1039
35,성수속향연,0.0,서울특별시 성동구 성수이로 65,일/중/아시아,1255
36,성수동양갈비,0.0,서울 성동구 성수일로12길 33,고기,1094
37,태성수산,0.0,서울특별시 동작구 노들로 674 노량진수산물도매시장 ,씨푸드,1104
38,진성수산,0.0,서울 구로구 남부순환로95길 8-3,나이트라이프,1143
39,인성수산,0.0,경상남도 통영시 욕지면 497-4 ,씨푸드,1411
40,이성수왕족발,0.0,충청북도 청주시 흥덕구 1순환로 550,고기,912
41,대성수산,0.0,부산광역시 서구 충무대로 226 ,씨푸드,953
42,대야성수타손짜장,0.0,경상남도 합천군 합천읍 옥산로 25,일/중/아시아,1296
43,대성갈비,3.5,서울특별시 성동구 서울숲4길 27,고기,21096
44,비사벌 전주 콩나물 국밥,4.0,서울특별시 성동구 왕십리로6길 1-2,한식,14654
45,대림창고,4.0,서울특별시 성동구 성수이로 78,카페/디저트,16078
46,할머니의 레시피,3.9,서울특별시 성동구 서울숲2길 44-12,한식,16224
47,윤경양식당,4.0,서울 성동구 왕십리로 96,양식,12032
48,어메이징브루잉컴퍼니,3.8,서울특별시 성동구 성수일로4길 4,나이트라이프,11575
49,빵의정석,4.0,서울특별시 성동구 서울숲2길 45,카페/디저트,20828
50,밀본,4.2,서울특별시 성동구 아차산로 67-16,한식,12659
51,orer 오르에르,3.5,서울특별시 성동구 연무장길 18,카페/디저트,7588
